# Закон Ципфа
# Rank	Frequency	Term	Zipf_Theoretical
468	8548	retir	2938.77
469	8533	endur	2932.50
470	8469	jr	2926.26
471	8454	raceway	2920.05
472	8410	zwei	2913.86
473	8340	temporada	2907.70
474	8301	down	2901.57
475	8296	stock	2895.46
476	8282	ist	2889.38
477	8276	earn	2883.32
478	8242	r	2877.29
479	8203	wurden	2871.28
480	8183	came	2865.30
481	8137	nur	2859.34
482	8117	sprint	2853.41
483	8111	1990	2847.50
484	8091	allow	2841.62
485	8088	alfa	2835.76
486	8047	there	2829.93
487	8040	sign	2824.11
488	8031	1999	2818.33
489	8017	22	2812.56
490	7982	feature	2806.82
491	7930	pit	2801.11
492	7904	single	2795.41
493	7838	south	2789.74
494	7795	calendar	2784.10
495	7787	manag	2778.47
496	7746	чт	2772.87
497	7716	january	2767.29
498	7712	junior	2761.73
499	7700	north	2756.20
500	7690	100	2750.69
501	7684	appear	2745.20
502	7647	serie	2739.73
503	7641	трасс	2734.28
504	7634	indianapoli	2728.86
505	7620	still	2723.45
506	7615	french	2718.07
507	7593	romeo	2712.71
508	7584	complet	2707.37
509	7573	um	2702.05
510	7567	found	2696.75
511	7551	course	2691.48
512	7551	1997	2686.22
513	7533	1998	2680.98
514	7533	wagen	2675.77
515	7530	d	2670.57
516	7516	m	2665.40
517	7491	ps	2660.24
518	7472	мир	2655.10
519	7471	tyre	2649.99
520	7468	just	2644.89
521	7467	tot	2639.82
522	7465	went	2634.76
523	7432	pass	2629.72
524	7410	t	2624.70
525	7407	john	2619.70
526	7396	see	2614.72
527	7378	23	2609.76
528	7374	sixth	2604.82
529	7362	make	2599.89
530	7326	waren	2594.99
531	7325	light	2590.10
532	7319	drove	2585.23
533	7316	ran	2580.38
534	7264	durch	2575.55
535	7233	sever	2570.74
536	7225	train	2565.94
537	7215	weltmeisterschaft	2561.16
538	7209	she	2556.40
539	7204	february	2551.66
540	7142	type	2546.93
541	7130	saw	2542.23
542	7125	alonso	2537.54
543	7122	next	2532.86
544	7116	main	2528.21
545	7113	nder	2523.57
546	7106	divis	2518.95
547	7104	support	2514.34
548	7072	use	2509.75
549	7068	day	2505.18
550	7057	weekend	2500.63
551	7038	can	2496.09
552	7035	1996	2491.57
553	7034	although	2487.06
554	7034	28	2482.57
555	7026	anoth	2478.10
556	7022	grid	2473.64
557	7003	chevrolet	2469.20
558	7003	200	2464.77
559	6979	constructor	2460.36
560	6976	some	2455.97
561	6964	small	2451.59
562	6916	круг	2447.23
563	6910	1980	2442.88
564	6902	line	2438.55
565	6898	such	2434.24
566	6887	1970	2429.94
567	6881	vettel	2425.65
568	6877	ord	2421.38
569	6861	show	2417.12
570	6855	offici	2412.88
571	6853	но	2408.66
572	6849	26	2404.45
573	6846	qualifi	2400.25
574	6842	premio	2396.07
575	6839	continu	2391.90
576	6835	australia	2387.75
577	6818	claim	2383.61
578	6804	stadium	2379.49
579	6796	seven	2375.38
580	6789	against	2371.28
581	6775	сайт	2367.20
582	6773	seine	2363.13
583	6766	b	2359.08
584	6746	1994	2355.04
585	6741	l	2351.02
586	6733	über	2347.00
587	6725	втор	2343.01
588	6700	verstappen	2339.02
589	6694	1991	2335.05
590	6693	audi	2331.09
591	6688	now	2327.15
592	6659	noch	2323.22
593	6654	decemb	2319.30
594	6640	them	2315.39
595	6630	america	2311.50
596	6590	entr	2307.62
597	6587	hp	2303.76
598	6583	c	2299.91
599	6566	eight	2296.07
600	6565	drei	2292.24
601	6559	1992	2288.43
602	6534	1995	2284.62
603	6488	как	2280.84
604	6481	call	2277.06
605	6466	tak	2273.30
606	6451	konnte	2269.54
607	6448	27	2265.81
608	6441	indy	2262.08
609	6433	profession	2258.36
610	6421	prototype	2254.66
611	6414	arca	2250.97
612	6381	host	2247.29
613	6347	ег	2243.63
614	6346	1993	2239.97
615	6321	home	2236.33
616	6319	previou	2232.70
617	6311	до	2229.08
618	6300	1989	2225.48
619	6278	receiv	2221.88
620	6270	report	2218.30
621	6256	fuhr	2214.72
622	6248	stop	2211.16
623	6240	nat	2207.61
624	6239	classific	2204.08
625	6235	could	2200.55
626	6234	side	2197.04
627	6217	noffici	2193.53
628	6202	naft	2190.04
629	6200	trophy	2186.56
630	6183	50	2183.09
631	6150	despite	2179.63
632	6150	сери	2176.18
633	6145	air	2172.74
634	6132	kam	2169.31
635	6129	aber	2165.90
636	6115	más	2162.49
637	6113	brabham	2159.10
638	6103	brand	2155.71
639	6095	побед	2152.34
640	6077	машин	2148.97
641	6076	1988	2145.62
642	6054	dos	2142.28
643	6041	1960	2138.95
644	6039	пилот	2135.63
